,Unnamed: 0,站名,站號,海拔高度,縣市,緯度,經度,位置
0,0,口湖工作站,12J990,10m,雲林縣,23.59,120.1804,口湖鄉口湖村成功路180號
1,1,萬大發電廠,42HA10,1000m,南投縣,23.9789,121.1396,仁愛鄉親愛村大安路1號
2,2,田中,467270,48.6m,彰化縣,23.8738,120.5813,田中鎮中潭里4鄰高鐵三路1段167號
3,3,阿里山,467530,2413.4m,嘉義縣,23.5082,120.8132,阿里山鄉中正村4鄰東阿里山73-1號
4,4,玉山,467550,3844.8m,南投縣,23.4876,120.9595,信義鄉玉山北峰1號
5,5,日月潭,467650,1017.5m,南投縣,23.8813,120.9081,魚池鄉水社村中山路270巷14號
6,6,臺中農改場,72G600,19m,彰化縣,24.003,120.5344,大村鄉田洋村松槐路370號
7,7,南改斗南分場,72K220,60m,雲林縣,23.6346,120.4773,斗南鎮復興路1-15號
8,8,茶改中部分場,82H320,850m,南投縣,23.8756,120.9136,魚池鄉中山路270巷13號
9,9,茶改南部分場,82H840,390m,南投縣,23.7625,120.7405,鹿谷鄉初鄉村仁愛路255號
10,10,水試臺西試驗場,A2K360,1m,雲林縣,23.7172,120.1905,臺西鄉中央路271號
11,11,臺大雲林校區,A2K630,45m,雲林縣,23.7306,120.4239,虎尾鎮學府西路8號(臺大雲林分部鋤禾館)
12,12,信義,C0AC70,71m,臺北市,25.0378,121.5646,信義區市府路1號(台北市政府頂樓)
13,14,員林,C0G650,34m,彰化縣,23.9465,120.5856,員林市萬年里明倫路2號(明倫國中內)
14,15,溪湖,C0G660,27m,彰化縣,23.9484,120.4791,溪湖鎮大竹里彰水路2段725號(湖南國民小學內)
15,16,溪州,C0G720,50m,彰化縣,23.8516,120.4991,溪州鄉溪下路四段560號(溪州鄉公所)
16,17,二林,C0G730,27m,彰化縣,23.9033,120.3761,二林鎮仁愛路200號(二林消防分隊)
17,18,大城,C0G740,24m,彰化縣,23.8525,120.3209,大城鄉東城村中平路185號(大城鄉公所)
18,19,福興,C0G770,15m,彰化縣,24.0413,120.4377,福興鄉員鹿路二段270號(福興國中)
19,20,秀水,C0G780,27m,彰化縣,24.0341,120.5039,秀水鄉安東村中山路257號(秀水國小)
20,21,埔鹽,C0G800,15m,彰化縣,24.0004,120.4317,埔鹽鄉永樂村永樂路600號(永樂國小)
21,22,埔心,C0G810,26m,彰化縣,23.9476,120.5255,埔心鄉舊館村員鹿路四段201號(舊館國小)
22,23,田尾,C0G820,29m,彰化縣,23.9017,120.5094,田尾鄉中正路二段101號(仁豐國小)
23,24,埤頭,C0G830,27m,彰化縣,23.866,120.4528,埤頭鄉大湖村大湖路260號(大湖國小)
24,26,社頭,C0G860,45m,彰化縣,23.8976,120.5862,社頭鄉社斗路一段258號(社頭國小)
25,28,二水,C0G880,92m,彰化縣,23.8107,120.6173,二水鄉文化村119號(二水國小)
26,29,伸港,C0G890,24m,彰化縣,24.1489,120.4844,伸港鄉新港村和平路60號(新港國小)
27,30,線西,C0G900,20m,彰化縣,24.1434,120.4435,線西鄉慶福路300號（彰濱工業區線西服務大樓內)
28,31,花壇,C0G910,42m,彰化縣,24.0321,120.5495,彰化縣花壇鄉彰員路2段580號（花壇國中內）
29,32,昆陽,C0H990,3076m,南投縣,24.1213,121.2736,仁愛鄉昆陽警察局後方下坡處(太魯閣國家公園)石碑後20公尺
30,36,竹山,C0I110,161m,南投縣,23.7612,120.6882,竹山鎮延和里向學街32號(竹山國民小學內)
31,37,水里,C0I360,300m,南投縣,23.8126,120.8498,水里鄉中山路一段515號(玉山國家公園管理處)
32,38,集集,C0I380,258m,南投縣,23.8282,120.8015,集集鎮民生東路1號(農委會特有生物研究保育中心)
33,39,名間,C0I410,180m,南投縣,23.8371,120.7014,名間鄉董門巷2號(名間鄉立體停車場)
34,47,宜梧,C0K291,8m,雲林縣,23.5363,120.1693,口湖鄉湖口村170號央廣口湖分台內(憲兵排樓頂)
35,48,虎尾,C0K330,38m,雲林縣,23.7192,120.442,虎尾鎮林森路一段64號(中正國民小學內)
36,49,土庫,C0K390,31m,雲林縣,23.679,120.3956,土庫鎮建國路41號(土庫消防分隊)
37,50,斗六,C0K400,65m,雲林縣,23.7206,120.5411,斗六市鎮北路345-1號(斗六消防分隊)
38,51,北港,C0K410,20m,雲林縣,23.574,120.2928,北港鎮大同路565號(北港消防分隊)
39,52,西螺,C0K420,42m,雲林縣,23.8004,120.4674,西螺鎮公正路211號(西螺消防分隊)
40,53,褒忠,C0K430,30m,雲林縣,23.6909,120.3036,褒忠鄉中正路451號(褒忠鄉公所)
41,54,二崙,C0K440,35m,雲林縣,23.7728,120.4089,二崙鄉中正路80號(二崙消防分隊)
42,55,大埤,C0K450,35m,雲林縣,23.6461,120.4315,大埤鄉中山路8號(大埤鄉公所)
43,56,斗南,C0K460,60m,雲林縣,23.6787,120.4784,斗南鎮延平路二段266號(斗南鎮停一立體停車場)
44,57,林內,C0K470,97m,雲林縣,23.7487,120.6096,林內鄉中正路685號(林內消防分隊)
45,58,莿桐,C0K480,56m,雲林縣,23.7612,120.5024,莿桐鄉和平路53號(莿桐鄉公所)
46,59,元長,C0K500,12m,雲林縣,23.6498,120.315,元長鄉長南村仁愛街2號(元長鄉公所)
47,60,水林,C0K510,10m,雲林縣,23.5729,120.246,水林鄉水北村水林路12號(水林鄉公所)
48,61,臺西,C0K530,12m,雲林縣,23.7015,120.1976,台西鄉中山路110巷38號(臺西消防分隊)
49,62,蔦松,C0K550,15m,雲林縣,23.5143,120.2297,水林鄉松中村蔦松路213號(蔦松國小)
50,63,棋山,C0K560,117m,雲林縣,23.6865,120.6034,古坑鄉棋盤村棋山49號(棋山國小)
51,64,高鐵雲林,C0K580,26m,雲林縣,23.7375,120.4179,虎尾鎮站前東路301號(高鐵雲林站外)
52,65,溪口,C0M660,40m,嘉義縣,23.6041,120.4036,溪口鄉中正東路103號(溪口國中學生活動中心)
53,66,大林,C0M670,43m,嘉義縣,23.6006,120.4584,大林鎮新興街110號(大林地政事務所)
54,67,民雄,C0M760,40m,嘉義縣,23.5518,120.4285,民雄鄉文化路7號(民雄鄉公所)
55,68,嘉義梅山,C0M770,164m,嘉義縣,23.5854,120.5556,梅山鄉中山路282號(梅山鄉公所)
56,92,蓮華池,E2H360,681m,南投縣,23.9183,120.8853,魚池鄉五城村華龍巷43號
57,93,四湖植物園,E2K600,11m,雲林縣,23.677,120.1634,四湖鄉中華路62巷80號
58,94,農試溪口農場,G2M350,26m,嘉義縣,23.5857,120.4081,溪口鄉妙崙村下崙路1之20號(靠近柳溝國小)
59,95,溪頭,U2H480,1150m,南投縣,23.6703,120.7982,鹿谷鄉內湖村森林巷9號
60,96,溪頭,U2H480,1150m,南投縣,23.6703,120.7982,鹿谷鄉內湖村森林巷9號
61,97,臺大和社,U2HA30,772m,南投縣,23.5909,120.8889,信義鄉同富村同和巷47號
62,98,臺大內茅埔,U2HA40,507m,南投縣,23.6897,120.8511,信義鄉自強村綠美巷13號
63,99,臺大竹山,U2HA50,156m,南投縣,23.757,120.6816,竹山鎮前山路一段12號
64,100,大庄合作社,V2K610,23m,雲林縣,23.8068,120.3679,二崙鄉大庄村酒姑路1號
